"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","ASGS_2011","State/Territory","PROJ_SERIES","Projection series","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"POP_PROJ","Projected population","1","Males","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2011","2011",13195,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2012","2012",13139,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2013","2013",13348,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2014","2014",13513,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2015","2015",13759,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2016","2016",14176,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2011","2011",12815,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2012","2012",12711,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2013","2013",12761,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2014","2014",12883,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2015","2015",13086,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","1","New South Wales","2","Series B","A","Annual","2016","2016",13407,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2011","2011",3007,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2012","2012",3052,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2013","2013",3084,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2014","2014",3176,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2015","2015",3266,,
"POP_PROJ","Projected population","1","Males","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2016","2016",3359,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2011","2011",2966,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2012","2012",2991,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2013","2013",3006,,
"POP_PROJ","Projected population","2","Females","A04","0 - 4","2","Victoria","2","Series B","A","Annual","2014","2014",3059,,
