"MEASURE","Measure","SEX_ABS","Sex","AGE","Age","INDIGENOUS_STATUS","Indigenous status","REGION_DEATHS","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"4","Deaths","1","Males","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2010","2010",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2013","2013",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2014","2014",4,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2015","2015",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2016","2016",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2010","2010",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2013","2013",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2014","2014",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","1","New South Wales","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","3","Queensland","A","Annual","2010","2010",1,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","3","Queensland","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","3","Queensland","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","3","Queensland","A","Annual","2013","2013",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","3","Queensland","A","Annual","2014","2014",1,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","3","Queensland","A","Annual","2015","2015",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","3","Queensland","A","Annual","2016","2016",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","3","Queensland","A","Annual","2010","2010",4,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","3","Queensland","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","3","Queensland","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","3","Queensland","A","Annual","2013","2013",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","3","Queensland","A","Annual","2014","2014",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","3","Queensland","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","3","Queensland","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","4","South Australia","A","Annual","2010","2010",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","4","South Australia","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","4","South Australia","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","4","South Australia","A","Annual","2013","2013",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","4","South Australia","A","Annual","2014","2014",2,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","4","South Australia","A","Annual","2015","2015",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","4","South Australia","A","Annual","2016","2016",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","4","South Australia","A","Annual","2010","2010",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","4","South Australia","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","4","South Australia","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","4","South Australia","A","Annual","2013","2013",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","4","South Australia","A","Annual","2014","2014",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","4","South Australia","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","4","South Australia","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2010","2010",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2013","2013",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2014","2014",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2015","2015",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2016","2016",4,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2010","2010",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2013","2013",1,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2014","2014",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","5","Western Australia","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2010","2010",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2011","2011",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2012","2012",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2013","2013",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2014","2014",2,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2015","2015",0,,
"4","Deaths","1","Males","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2016","2016",4,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2010","2010",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2011","2011",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2012","2012",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2013","2013",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2014","2014",1,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2015","2015",0,,
"4","Deaths","2","Females","999","not stated","4","Indigenous","7","Northern Territory","A","Annual","2016","2016",0,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2010","2010",2,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2011","2011",2,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2012","2012",1,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2013","2013",1,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2014","2014",3,,
"4","Deaths","1","Males","999","not stated","1","Non-Indigenous","1","New South Wales","A","Annual","2015","2015",0,,
